state,stateTotalRecords,ATTOMID,AccessabilityElevatorFlag,AccessabilityHandicapFlag,ArborPergolaFlag,Area1stFloor,Area2ndFloor,AreaBuilding,AreaBuildingDefinitionCode,AreaGross,AreaLotAcres,AreaLotDepth,AreaLotSF,AreaLotWidth,AreaUpperFloors,ArenaFlag,AssessorLastSaleAmount,AssessorLastSaleDate,AssessorPriorSaleAmount,AssessorPriorSaleDate,BalconyArea,BathCount,BathHouseArea,BathHouseFlag,BathPartialCount,BedroomsCount,BoatAccessFlag,BoatHouseArea,BoatHouseFlag,BoatLiftFlag,BreezewayFlag,BuildingsCount,CBSACode,CBSAName,CabinArea,CabinFlag,CanopyArea,CanopyFlag,CensusBlock,CensusBlockGroup,CensusFIPSPlaceCode,CensusTract,CentralVacuumFlag,CombinedStatisticalArea,CommunityRecRoomFlag,CompanyFlag,CongressionalDistrictHouse,Construction,ConstructionFireResistanceClass,ContactOwnerMailAddressCRRT,ContactOwnerMailAddressCity,ContactOwnerMailAddressFull,ContactOwnerMailAddressHouseNumber,ContactOwnerMailAddressInfoFormat,ContactOwnerMailAddressState,ContactOwnerMailAddressStreetDirection,ContactOwnerMailAddressStreetName,ContactOwnerMailAddressStreetPostDirection,ContactOwnerMailAddressStreetSuffix,ContactOwnerMailAddressUnit,ContactOwnerMailAddressUnitPrefix,ContactOwnerMailAddressZIP,ContactOwnerMailAddressZIP4,ContactOwnerMailInfoPrivacy,ContactOwnerMailingCounty,ContactOwnerMailingFIPS,ContentIntercomFlag,ContentOverheadDoorFlag,ContentSaunaFlag,ContentSoundSystemFlag,ContentStormShutterFlag,CourtyardArea,CourtyardFlag,DeckArea,DeckFlag,DeedLastDocumentNumber,DeedLastSaleDate,DeedLastSaleDocumentBook,DeedLastSaleDocumentPage,DeedLastSalePrice,DeedLastSaleTransactionID,DeedOwner1NameFirst,DeedOwner1NameFull,DeedOwner1NameLast,DeedOwner1NameMiddle,DeedOwner1NameSuffix,DeedOwner2NameFirst,DeedOwner2NameFull,DeedOwner2NameLast,DeedOwner2NameMiddle,DeedOwner2NameSuffix,DeedOwner3NameFirst,DeedOwner3NameFull,DeedOwner3NameLast,DeedOwner3NameMiddle,DeedOwner3NameSuffix,DeedOwner4NameFirst,DeedOwner4NameFull,DeedOwner4NameLast,DeedOwner4NameMiddle,DeedOwner4NameSuffix,DrivewayArea,DrivewayMaterial,EscalatorFlag,Exterior1Code,FeatureBalconyFlag,FenceArea,FenceCode,Fireplace,FireplaceCount,FlooringMaterialPrimary,Foundation,GazeboArea,GazeboFlag,GeoQuality,GolfCourseGreenFlag,GraineryArea,GraineryFlag,GreenHouseArea,GreenHouseFlag,GuestHouseArea,GuestHouseFlag,HVACCoolingDetail,HVACHeatingDetail,HVACHeatingFuel,InteriorStructure,KennelArea,KennelFlag,LastAssessorTaxRollUpdate,LastOwnershipTransferDate,LastOwnershipTransferDocumentNumber,LastOwnershipTransferTransactionID,LeanToArea,LeanToFlag,LegalBlock1,LegalBlock2,LegalDescription,LegalLotNumber1,LegalLotNumber2,LegalLotNumber3,LegalPhase,LegalQuarter,LegalQuarterQuarter,LegalRange,LegalSection,LegalSubdivision,LegalTownship,LegalTractNumber,LegalUnit,LoadingPlatformArea,LoadingPlatformFlag,MSACode,MSAName,MetropolitanDivision,MilkHouseArea,MilkHouseFlag,MinorCivilDivisionCode,MinorCivilDivisionName,NeighborhoodCode,OutdoorKitchenFireplaceFlag,OwnerTypeDescription1,OwnerTypeDescription2,OwnershipVestingRelationCode,ParcelAccountNumber,ParcelMapBook,ParcelMapPage,ParcelNumberAlternate,ParcelNumberFormatted,ParcelNumberPrevious,ParcelNumberRaw,ParcelNumberYearAdded,ParcelNumberYearChange,ParcelShellRecord,ParkingCarport,ParkingCarportArea,ParkingGarage,ParkingGarageArea,ParkingRVParkingFlag,ParkingSpaceCount,PartyOwner1NameFirst,PartyOwner1NameFull,PartyOwner1NameLast,PartyOwner1NameMiddle,PartyOwner1NameSuffix,PartyOwner2NameFirst,PartyOwner2NameFull,PartyOwner2NameLast,PartyOwner2NameMiddle,PartyOwner2NameSuffix,PartyOwner3NameFirst,PartyOwner3NameFull,PartyOwner3NameLast,PartyOwner3NameMiddle,PartyOwner3NameSuffix,PartyOwner4NameFirst,PartyOwner4NameFull,PartyOwner4NameLast,PartyOwner4NameMiddle,PartyOwner4NameSuffix,PatioArea,PlumbingFixturesCount,PoleStructureArea,PoleStructureFlag,PondFlag,Pool,PoolArea,PoolHouseArea,PoolHouseFlag,PorchArea,PorchCode,PoultryHouseArea,PoultryHouseFlag,PreviousAssessedValue,PropertyAddressCRRT,PropertyAddressCity,PropertyAddressFull,PropertyAddressHouseNumber,PropertyAddressInfoPrivacy,PropertyAddressState,PropertyAddressStreetDirection,PropertyAddressStreetName,PropertyAddressStreetPostDirection,PropertyAddressStreetSuffix,PropertyAddressUnitPrefix,PropertyAddressUnitValue,PropertyAddressZIP,PropertyAddressZIP4,PropertyJurisdictionName,PropertyLatitude,PropertyLongitude,PropertyUseGroup,PropertyUseMuni,PropertyUseStandardized,QuonsetArea,QuonsetFlag,RoofConstruction,RoofMaterial,RoomsAtticArea,RoomsAtticFlag,RoomsBasementArea,RoomsBasementAreaFinished,RoomsBasementAreaUnfinished,RoomsBonusRoomFlag,RoomsBreakfastNookFlag,RoomsCellarFlag,RoomsCellarWineFlag,RoomsCount,RoomsExerciseFlag,RoomsFamilyCode,RoomsGameFlag,RoomsGreatFlag,RoomsHobbyFlag,RoomsLaundryFlag,RoomsMediaFlag,RoomsMudFlag,RoomsOfficeArea,RoomsOfficeFlag,RoomsSafeRoomFlag,RoomsSittingFlag,RoomsStormShelter,RoomsStudyFlag,RoomsSunroomFlag,RoomsUtilityArea,RoomsUtilityCode,SafetyFireSprinklersFlag,SecurityAlarmFlag,ShedArea,ShedCode,SiloArea,SiloFlag,SitusCounty,SitusStateCountyFIPS,SportsCourtFlag,SprinklersFlag,StableArea,StableFlag,StatusOwnerOccupiedFlag,StorageBuildingArea,StorageBuildingFlag,StoriesCount,StructureStyle,TaxAssessedImprovementsPerc,TaxAssessedValueImprovements,TaxAssessedValueLand,TaxAssessedValueTotal,TaxBilledAmount,TaxDelinquentYear,TaxExemptionAdditional,TaxExemptionDisabledFlag,TaxExemptionHomeownerFlag,TaxExemptionSeniorFlag,TaxExemptionVeteranFlag,TaxExemptionWidowFlag,TaxFiscalYear,TaxMarketImprovementsPerc,TaxMarketValueImprovements,TaxMarketValueLand,TaxMarketValueTotal,TaxMarketValueYear,TaxRateArea,TaxYearAssessed,TennisCourtFlag,TopographyCode,TotalRecords,TrustDescription,UnitsCount,UtilitiesMobileHomeHookupFlag,UtilitiesSewageUsage,UtilitiesWaterSource,UtilityBuildingArea,UtilityBuildingFlag,ViewDescription,WaterFeatureFlag,WetBarFlag,YearBuilt,YearBuiltEffective,ZonedCodeLocal
NATIONWIDE,160256585,100,0,0,0,13,3,68,65,51,84,25,88,27,3,0,36,68,16,27,1,56,0,0,14,46,0,0,0,0,0,9,88,88,0,0,1,1,98,2,1,2,0,1,0,20,54,32,1,94,97,97,88,73,97,18,97,5,82,8,6,97,94,0,97,97,0,0,0,0,0,0,0,9,9,76,100,22,21,98,43,78,99,99,52,3,29,30,30,17,0,1,1,1,0,0,0,0,0,0,0,1,0,0,47,1,0,2,25,21,12,24,0,0,99,0,0,0,0,0,0,0,43,51,18,14,0,0,100,100,62,49,0,0,38,0,99,69,5,0,2,9,3,29,30,65,31,84,4,0,0,87,87,18,0,0,2,0,43,0,91,20,100,48,0,0,18,1,33,100,60,41,0,36,2,44,31,0,32,75,100,99,48,3,25,25,25,15,0,13,15,15,8,0,0,1,1,0,0,15,15,0,1,0,5,3,0,0,27,21,0,0,98,74,97,88,80,0,100,18,88,5,81,6,6,96,74,100,93,93,100,90,100,0,0,34,0,1,1,15,7,11,0,0,0,0,31,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,100,-9223372036854775808,0,1,0,0,76,1,2,58,30,62,63,78,95,89,2,6,1,14,2,1,0,98,57,58,73,83,82,63,100,99,18,100,33,53,0,20,21,2,2,83,0,0,67,30,41
AK,510980,100,0,0,0,25,8,44,43,34,65,0,65,0,1,0,6,83,7,16,0,29,0,0,8,23,0,0,0,0,0,20,54,54,0,1,3,3,100,0,1,0,0,0,0,19,27,10,1,70,72,71,49,66,72,14,71,1,48,8,7,72,70,0,72,72,0,0,0,0,0,0,0,16,16,78,100,1,1,91,24,80,100,100,52,3,20,20,20,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,22,0,0,1,15,15,0,0,0,0,82,0,0,0,2,2,0,0,17,29,22,0,0,0,100,100,39,31,1,1,43,0,100,65,0,0,1,13,0,30,30,64,29,55,1,0,0,54,54,0,0,0,1,0,37,0,99,17,100,18,0,0,18,0,19,100,25,50,0,22,2,27,22,0,20,77,100,100,48,3,18,18,18,12,0,13,16,16,9,0,1,1,1,0,0,16,16,1,1,0,3,0,0,0,17,13,0,0,98,41,64,57,55,0,100,16,57,0,56,5,5,64,39,100,60,60,100,50,100,0,0,2,0,1,0,12,11,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,9,9,0,0,100,212819,0,0,0,0,76,0,0,37,24,48,48,66,70,59,2,6,1,12,4,1,0,71,48,48,65,70,70,49,100,100,18,5788777,20,25,0,30,30,0,0,52,0,0,44,27,42
AL,3098778,100,0,0,0,0,3,64,61,38,76,39,83,39,8,0,23,71,10,22,0,53,0,0,8,17,1,0,0,0,0,4,86,86,0,0,1,1,98,2,1,2,0,0,0,17,35,18,0,93,96,96,85,80,96,5,96,9,72,3,3,96,93,0,96,96,0,0,0,0,0,0,0,4,4,76,100,19,19,99,31,83,98,98,58,5,38,38,38,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,1,28,26,32,49,0,0,100,0,0,0,0,0,0,0,46,50,7,51,0,0,100,100,43,33,0,0,24,0,100,52,4,0,2,11,0,70,70,55,70,77,0,0,0,84,84,0,0,0,3,0,52,0,95,13,100,87,0,0,47,0,35,100,52,60,0,14,7,25,16,0,17,80,100,98,56,5,31,31,31,19,1,8,8,8,5,0,0,0,0,0,0,7,18,0,0,0,4,3,0,0,29,23,0,0,99,62,96,79,66,0,100,4,79,10,66,2,2,96,61,100,92,92,100,76,100,0,0,55,0,0,0,7,3,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,100,107199,0,0,0,0,80,0,0,59,0,43,43,68,99,87,0,7,2,21,6,0,0,100,63,63,96,99,99,72,100,100,14,10374027,26,44,0,14,17,10,10,76,0,0,64,35,27
AR,2468653,100,0,0,0,44,0,51,48,40,81,18,82,18,6,0,40,90,31,72,0,44,0,0,8,1,1,0,0,0,0,2,74,74,0,0,2,2,99,1,1,1,0,0,0,26,21,44,2,92,95,95,78,83,95,16,95,3,65,4,4,95,91,0,94,94,0,0,0,0,0,0,0,15,17,85,100,10,10,98,28,73,100,100,42,3,33,34,34,16,0,0,1,1,0,0,0,0,0,0,0,28,0,0,43,0,0,24,18,16,23,45,0,0,99,0,0,0,0,0,0,0,46,40,0,1,0,1,100,100,40,33,2,2,27,0,100,49,3,0,2,0,0,69,69,65,69,73,0,0,0,70,70,0,0,0,3,0,0,0,98,15,100,53,0,0,3,0,8,100,62,49,0,21,11,34,20,0,15,70,100,100,39,3,27,28,28,12,0,11,13,13,5,0,2,2,2,1,0,30,0,1,1,0,4,2,0,0,41,39,0,0,93,53,94,74,59,0,100,15,74,3,60,1,1,94,52,100,88,88,100,11,100,0,0,44,0,0,0,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,4,0,0,100,507828,0,0,0,0,79,1,2,53,3,53,53,86,90,87,0,9,0,21,0,0,0,98,52,52,86,90,89,53,100,100,7,6333241,31,33,0,0,0,14,14,72,0,0,41,3,1
AZ,3453742,100,0,0,0,5,0,72,71,69,92,0,93,0,0,0,61,85,10,11,0,52,0,0,1,2,0,0,0,0,0,3,98,98,0,0,2,2,99,1,1,1,0,0,0,30,66,61,2,95,97,98,89,80,97,72,98,2,83,14,13,97,95,0,96,96,0,0,0,0,0,0,0,1,1,86,100,5,5,95,65,68,99,99,45,2,33,33,33,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,69,0,0,0,1,1,4,3,0,0,100,0,0,0,0,0,0,0,63,66,0,1,0,0,100,100,83,75,0,0,15,0,100,89,7,0,5,44,42,92,91,89,92,98,19,0,0,98,98,0,0,0,1,0,55,0,93,9,100,19,0,0,0,1,6,100,61,8,0,57,2,60,11,0,55,65,100,100,41,2,31,31,31,18,0,4,6,6,3,0,0,0,0,0,0,5,50,0,0,0,18,16,0,0,10,6,0,0,98,75,96,85,84,0,100,76,85,1,79,7,7,96,76,100,93,93,100,99,100,0,0,43,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,401487,0,0,0,0,63,1,1,72,2,57,57,74,96,94,2,4,0,1,0,0,0,100,63,63,87,99,98,96,100,99,0,98167606,44,55,0,5,4,1,1,98,0,0,74,7,54
CA,13270020,100,0,0,0,18,6,79,78,60,93,20,93,19,0,0,8,32,2,7,0,73,0,0,9,73,0,0,0,0,0,5,98,98,0,0,0,0,99,1,3,1,0,0,0,25,77,54,2,95,97,97,91,54,97,14,97,1,85,12,8,97,95,0,97,97,0,0,0,0,0,0,0,1,1,80,100,6,2,98,59,67,99,99,40,2,30,32,32,17,0,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29,27,5,3,0,0,100,0,0,0,0,0,0,0,37,46,3,0,0,0,100,100,82,66,0,0,18,0,95,79,6,0,0,0,0,6,6,67,6,98,2,0,0,98,98,37,0,0,5,0,22,0,84,22,100,11,1,1,4,1,19,100,31,20,0,56,1,59,36,0,46,62,100,99,36,2,25,25,25,14,0,9,13,13,5,0,0,1,1,0,0,8,0,0,0,0,11,1,0,0,6,5,0,0,99,81,97,88,86,0,100,13,88,1,83,9,9,97,81,100,94,94,100,99,100,0,0,14,0,0,0,2,0,1,0,0,0,0,44,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,605676,0,0,0,0,73,0,0,56,23,84,84,93,95,92,2,2,0,0,0,0,0,100,0,0,0,0,0,96,100,99,9,90695798,53,69,0,14,14,0,0,96,0,0,79,59,60
CO,2862777,100,0,0,0,33,11,74,73,68,87,9,91,11,8,0,55,89,37,62,6,69,0,0,9,67,0,0,0,0,0,4,86,86,0,0,0,0,92,8,1,8,0,1,0,23,60,56,2,95,99,99,89,64,99,30,99,1,83,13,9,99,95,0,99,99,0,0,0,0,0,0,0,9,8,88,99,4,3,98,50,75,98,98,54,2,30,30,30,20,0,1,1,1,0,0,0,0,0,0,0,0,0,0,58,6,0,0,38,30,12,21,0,0,99,0,0,0,0,0,0,0,41,70,25,37,0,0,100,100,70,60,0,0,60,0,99,82,10,0,1,61,0,75,75,87,76,86,4,0,0,82,82,0,0,0,1,0,71,0,85,23,100,63,0,0,23,1,55,100,76,54,0,53,2,57,51,0,36,73,100,99,51,2,23,23,23,16,0,16,17,17,11,0,0,0,0,0,0,25,24,0,0,0,3,1,0,0,46,31,0,0,98,74,95,85,83,0,100,26,85,1,79,11,11,95,74,100,91,91,100,85,100,0,0,49,0,0,0,40,26,36,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,100,805122,0,4,0,0,75,0,0,67,64,65,66,80,96,93,2,5,0,0,1,0,0,99,73,73,88,97,96,59,100,99,19,14510643,36,61,0,6,6,1,2,85,0,0,74,43,35
CT,1359449,100,0,0,0,25,0,87,87,73,86,0,86,0,0,0,71,93,1,1,0,84,0,0,44,83,0,0,0,0,0,89,100,100,0,0,0,0,99,1,1,1,1,3,0,14,80,33,0,92,95,95,91,82,95,4,95,1,90,8,7,95,93,0,95,95,0,0,0,0,0,0,0,0,27,97,100,58,58,100,67,85,98,98,61,0,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,47,45,0,3,0,0,100,0,0,0,0,0,0,0,44,85,84,0,0,0,100,100,74,69,0,0,71,0,100,74,0,0,0,0,0,0,0,7,0,98,0,0,1,100,100,0,0,0,1,0,0,0,95,39,100,92,0,0,0,3,76,100,94,77,0,47,0,49,0,0,22,83,100,100,47,0,3,3,3,1,0,37,37,37,20,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,100,89,100,100,95,0,100,4,100,1,99,9,9,100,90,100,99,99,100,100,100,0,0,76,2,7,5,54,33,39,0,0,0,0,83,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,900585,0,0,0,0,81,0,0,87,84,90,90,85,100,96,0,2,0,0,0,0,0,100,0,0,0,0,0,75,100,97,0,24876420,27,84,0,11,7,0,0,98,0,0,87,24,89
DC,235796,100,0,0,0,0,0,80,79,78,90,0,95,0,0,0,53,74,0,0,0,71,0,0,29,69,0,0,0,0,0,0,100,100,0,0,0,0,96,4,3,4,0,0,0,28,76,8,0,91,92,92,90,90,92,4,92,74,90,32,31,92,91,0,92,92,0,0,0,0,0,0,0,2,0,77,100,3,3,94,48,78,100,100,61,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,25,25,41,0,0,0,100,0,0,0,0,0,0,0,46,47,0,0,0,0,100,100,68,56,0,0,100,0,100,100,0,0,0,0,0,0,0,100,0,91,0,0,0,100,100,100,0,0,3,5,87,0,99,33,100,0,0,0,0,0,3,100,88,5,0,5,0,25,0,0,9,70,100,100,43,0,0,0,0,0,0,30,32,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,98,91,100,99,94,0,100,2,99,99,99,35,35,99,93,100,99,99,100,99,100,0,0,46,0,0,0,46,0,46,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1100100,0,0,0,0,81,0,0,56,0,85,85,90,92,94,1,6,0,0,0,0,0,100,85,86,92,92,92,86,100,100,0,23579600,23,61,0,0,0,0,0,91,0,0,80,41,73
DE,500067,100,18,0,0,2,0,71,70,68,87,68,88,73,3,0,47,82,35,59,0,46,0,0,27,60,0,0,0,0,0,1,100,100,0,0,0,0,99,1,1,1,0,0,0,19,71,30,0,96,99,99,94,73,99,13,99,1,93,6,5,99,96,0,99,99,0,0,0,0,0,0,0,2,2,86,100,20,20,99,48,79,99,99,60,7,24,24,24,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,27,27,34,51,0,0,100,0,2,2,0,0,0,0,58,65,0,35,0,0,100,100,63,54,1,1,20,0,100,77,8,0,5,0,0,0,0,86,0,99,5,0,0,100,100,43,0,0,3,0,23,0,89,20,100,19,0,0,9,0,17,100,55,22,0,41,3,48,28,0,43,77,100,99,57,6,21,21,21,14,0,13,15,15,9,0,0,0,0,0,0,10,62,0,1,0,2,2,0,0,24,11,0,1,98,85,99,93,88,0,100,12,93,1,92,3,3,99,83,100,96,96,100,99,100,0,0,50,0,1,0,13,3,9,0,0,0,0,61,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,100,1000338,0,0,0,0,77,0,0,69,48,80,80,85,96,89,3,4,0,0,3,0,0,100,30,30,32,37,37,86,100,100,19,18297616,28,52,0,2,0,0,0,99,0,0,72,3,92
FL,10935635,100,1,0,0,4,1,78,77,74,84,33,87,38,6,0,63,90,52,71,1,69,0,0,4,60,2,0,0,0,0,11,97,97,0,0,1,1,98,2,1,2,0,0,0,18,74,51,2,93,97,98,93,46,98,26,98,6,89,15,8,97,94,0,97,97,0,0,0,0,0,0,0,7,5,93,100,50,48,99,58,75,99,99,49,3,31,32,32,19,1,1,2,2,1,0,0,0,0,0,0,5,0,0,62,1,0,9,11,10,32,26,0,0,100,0,0,0,0,0,0,0,57,52,26,48,0,0,100,100,84,71,0,0,52,0,100,80,8,0,7,0,0,96,96,93,96,97,14,0,0,96,96,22,0,0,2,0,74,0,77,28,100,63,0,0,19,0,30,100,75,32,0,41,4,49,39,0,31,73,100,99,45,3,27,27,27,16,1,13,16,16,8,0,1,1,1,0,0,24,9,0,0,0,17,12,1,1,50,47,0,0,97,82,99,94,88,0,100,26,94,7,90,15,15,99,84,100,96,96,100,99,100,0,0,53,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,5,0,0,100,1207211,0,2,0,0,65,2,2,64,10,33,33,43,98,94,3,4,1,20,1,1,2,100,73,73,82,98,98,78,100,100,2,40025935,39,65,0,5,6,4,4,97,0,0,79,72,64
GA,4743998,100,0,0,0,3,0,79,77,67,83,21,92,27,4,0,49,79,34,55,0,72,0,0,21,57,1,0,0,0,0,9,88,88,0,0,3,3,96,4,1,4,0,1,0,17,55,35,1,91,94,94,86,65,94,5,94,12,84,6,4,94,90,0,94,94,0,0,0,0,0,0,0,15,9,88,99,56,56,98,48,81,98,98,55,4,28,29,29,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,1,54,44,35,53,0,0,99,0,0,0,0,0,0,0,69,70,33,40,0,0,100,100,71,54,1,1,33,0,98,67,3,0,10,0,0,0,1,77,0,95,3,0,0,86,86,0,0,0,2,0,76,1,89,17,100,75,0,0,12,1,65,100,87,78,0,42,4,45,36,0,28,80,100,99,53,4,24,24,24,15,1,8,9,9,5,0,0,0,0,0,0,35,23,1,1,0,4,4,0,0,54,15,0,0,99,81,98,96,86,0,100,5,96,13,92,3,3,98,82,100,97,97,100,96,100,0,0,52,1,5,0,18,10,15,0,0,0,0,39,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,100,1313674,0,0,0,0,75,4,4,75,45,80,80,96,99,97,0,6,0,17,3,0,0,100,80,81,96,99,98,92,100,99,46,10827852,26,70,0,41,43,6,6,95,0,0,79,41,75
