attomid,AssessorPriorSaleAmount,AssessorPriorSaleDate,AssessorLastSaleAmount,AssessorLastSaleDate,PreviousAssessedValue,TaxAssessedValueTotal,TaxYearAssessed,TaxMarketValueTotal,TaxMarketValueYear,EstimatedValue,ValuationDate
299494494,69,1991-02-01,74,1994-03-01,22,25,2021,130,2021,250,2022/02/24
299485907,9,1994-06-01,92,1995-06-01,24,26,2021,139,2021,241,2022/02/24
299486343,80,1993-10-01,95,1998-03-01,22,24,2021,127,2021,215,2022/02/24
299488844,17,1998-05-01,18,1998-07-01,34,37,2021,195,2021,341,2022/02/24
299486070,74,1990-02-01,93,1999-06-01,20,22,2021,114,2021,207,2022/02/24
299493595,95,1996-08-01,104,2000-05-01,25,27,2021,143,2021,205,2022/02/24
299493946,25,2001-11-01,25,2002-04-01,29,31,2021,165,2021,289,2022/02/24
299487225,128,2000-12-01,139,2002-04-01,26,29,2021,152,2021,279,2022/02/24
299487721,164,2001-11-01,165,2002-06-01,36,40,2021,208,2021,301,2022/02/24
299487716,15,2000-09-01,128,2002-10-01,28,31,2021,161,2021,283,2022/02/24
299487052,14,2002-08-01,101,2002-11-01,18,20,2021,106,2021,194,2022/02/24
299486469,81,2000-06-01,91,2003-04-01,16,18,2021,93,2021,178,2022/02/24
299486008,64,2002-01-01,78,2003-06-01,11,12,2021,61,2021,109,2022/02/24
299493664,60,2001-12-01,68,2003-10-01,14,15,2021,79,2021,137,2022/02/24
299488796,120,1999-12-01,128,2004-07-01,28,30,2021,160,2021,280,2022/02/24
299493807,26,2002-05-01,20,2004-09-01,5,6,2021,31,2021,54,2022/02/24
299494609,215,2002-04-01,245,2004-11-01,44,48,2021,255,2021,419,2022/02/24
299494489,10,2004-07-01,15,2004-12-01,27,30,2021,159,2021,262,2022/02/24
299492618,117,2002-06-01,124,2005-05-01,20,22,2021,118,2021,210,2022/02/24
299494580,90,2002-09-01,138,2005-07-01,18,20,2021,104,2021,171,2022/02/24
299494330,187,2004-06-01,190,2005-08-01,38,41,2021,218,2021,359,2022/02/24
299491752,55,2005-05-01,130,2005-09-01,21,23,2021,121,2021,169,2022/02/24
299487326,130,2003-09-01,140,2005-12-01,26,28,2021,148,2021,266,2022/02/24
299494582,90,2004-07-01,110,2006-03-01,14,15,2021,81,2021,134,2022/02/24
299493539,82,2002-02-01,112,2006-06-01,14,15,2021,81,2021,183,2022/02/24
299491290,75,2005-06-01,92,2006-10-01,13,14,2021,73,2021,150,2022/02/24
299492462,192,2003-03-01,180,2006-12-01,34,38,2021,199,2021,393,2022/02/24
299486573,24,2002-03-01,82,2007-05-01,8,9,2021,46,2021,83,2022/02/24
299487107,96,2003-11-01,155,2007-08-01,21,23,2021,119,2021,207,2022/02/24
299491227,122,2003-06-01,134,2007-10-01,18,19,2021,102,2021,196,2022/02/24
299487742,30,1998-08-01,244,2009-08-01,41,45,2021,237,2021,352,2022/02/24
299491364,162,2002-10-01,179,2009-08-01,31,34,2021,177,2021,271,2022/02/24
299487050,109,2006-06-01,120,2009-09-01,18,20,2021,105,2021,193,2022/02/24
299487498,89,2003-07-01,116,2010-06-01,21,23,2021,123,2021,222,2022/02/24
299492342,94,2000-04-01,105,2010-06-01,20,22,2021,113,2021,205,2022/02/24
299491542,95,2006-05-01,86,2011-07-27,17,19,2021,98,2021,194,2022/02/24
299491562,8,2007-10-01,9,2011-12-24,23,25,2021,133,2021,186,2022/02/24
299493232,175,2010-06-01,209,2012-02-01,29,32,2021,166,2021,275,2022/02/24
299488843,176,2005-10-01,167,2012-03-01,32,35,2021,187,2021,326,2022/02/24
299491281,82,2005-06-01,55,2012-05-03,10,11,2021,58,2021,81,2022/02/24
299493279,143,2006-09-01,124,2012-11-09,23,25,2021,133,2021,261,2022/02/24
299493640,160,2008-03-12,168,2013-02-06,29,31,2021,165,2021,288,2022/02/24
299487446,118,2007-05-01,113,2013-05-30,24,26,2021,138,2021,222,2022/02/24
299493571,43,2010-10-01,117,2013-11-21,18,19,2021,102,2021,216,2022/02/24
299493709,95,2008-05-01,100,2014-02-03,17,19,2021,100,2021,213,2022/02/24
299488781,134,1997-06-01,155,2014-02-28,33,36,2021,192,2021,335,2022/02/24
299485885,127,2009-07-01,125,2014-09-30,19,21,2021,112,2021,199,2022/02/24
299487178,33,2008-10-01,58,2014-10-31,15,21,2021,108,2021,175,2022/02/24
299486111,110,2012-02-02,132,2014-10-31,25,27,2021,143,2021,247,2022/02/24
299491062,106,2013-09-05,137,2014-11-28,33,37,2021,193,2021,270,2022/02/24
299487694,122,2003-05-01,125,2014-11-28,26,28,2021,149,2021,256,2022/02/24
299492459,26,2004-04-01,188,2014-11-28,28,31,2021,161,2021,284,2022/02/24
299494740,124,2004-04-01,132,2014-12-31,23,26,2021,135,2021,265,2022/02/24
299486158,134,2009-06-01,135,2014-12-31,21,24,2021,124,2021,221,2022/02/24
299492374,70,2013-12-31,88,2015-07-31,12,13,2021,71,2021,140,2022/02/24
299493264,10,2013-02-17,189,2015-07-31,36,40,2021,210,2021,414,2022/02/24
299494323,153,2012-12-17,167,2015-09-30,31,34,2021,180,2021,296,2022/02/24
299491300,55,1993-06-01,55,2016-04-05,7,8,2021,43,2021,60,2022/02/24
299486443,119,2008-08-11,137,2016-06-30,21,23,2021,120,2021,226,2022/02/24
299493265,170,2009-03-01,240,2016-07-29,33,36,2021,191,2021,376,2022/02/24
299495966,88,2005-06-01,89,2016-09-30,12,14,2021,71,2021,99,2022/02/24
299486189,125,2005-11-07,125,2016-09-30,16,17,2021,90,2021,186,2022/02/24
299493278,108,2009-07-01,128,2016-11-30,19,21,2021,111,2021,218,2022/02/24
299494301,92,2016-09-30,135,2017-02-28,25,28,2021,146,2021,240,2022/02/24
299490870,134,2005-07-01,126,2017-03-30,25,28,2021,146,2021,204,2022/02/24
299486348,97,2010-09-01,162,2017-04-30,28,31,2021,164,2021,271,2022/02/24
299491383,115,2001-07-01,126,2017-05-31,22,24,2021,128,2021,179,2022/02/24
299492498,19,2017-01-02,270,2018-01-27,29,32,2021,170,2021,288,2022/02/24
327439997,150,2017-11-15,150,2018-03-13,21,23,2021,124,2021,221,2022/02/24
299487836,68,2007-04-01,64,2018-03-13,18,20,2021,107,2021,190,2022/02/24
299494417,195,2017-12-19,195,2018-03-14,30,33,2021,176,2021,290,2022/02/24
299485848,10,2017-11-02,10,2018-05-30,29,31,2021,165,2021,286,2022/02/24
299498555,118,2017-12-21,118,2018-06-29,26,29,2021,152,2021,212,2022/02/24
299494477,129,2003-05-01,158,2018-08-01,20,22,2021,118,2021,231,2022/02/24
299494832,257,2016-07-29,332,2018-08-01,49,54,2021,283,2021,466,2022/02/24
299487772,143,2010-05-15,180,2018-09-02,19,21,2021,113,2021,198,2022/02/24
299485887,135,2003-03-01,223,2018-09-02,27,30,2021,158,2021,260,2022/02/24
299493277,77,2018-03-06,148,2018-09-02,20,22,2021,116,2021,172,2022/02/24
299487422,118,2010-04-01,165,2018-10-06,22,25,2021,129,2021,238,2022/02/24
299491403,79,2015-04-30,147,2019-02-06,19,21,2021,110,2021,207,2022/02/24
299487219,133,2004-06-01,165,2019-03-28,25,28,2021,146,2021,269,2022/02/24
299493526,88,2018-01-27,150,2019-06-03,17,19,2021,98,2021,219,2022/02/24
299487611,189,2009-09-01,232,2019-11-25,42,47,2021,246,2021,365,2022/02/24
299492383,37,2000-08-01,41,2019-12-06,4,4,2021,21,2021,41,2022/02/24
299485932,98,2002-08-01,100,2019-12-10,22,24,2021,127,2021,240,2022/02/24
299492778,14,2009-03-01,20,2020-01-25,5,6,2021,31,2021,60,2022/02/24
299494814,75,2013-07-27,94,2020-01-30,20,22,2021,114,2021,188,2022/02/24
